TB_PO:
COT_ID,PONO,Amount,OrderDate,ReceiveDate
0000300391,000774867264,3792.00,2017-05-17 12:30:33,
0000300391,000774864072,22420.00,2017-05-16 18:30:42,
0000300391,000774849091,240093.64,2017-05-16 18:30:42,
0000300394,000774846912,11742.00,2017-05-16 18:30:35,
0000300391,000774844870,33886.40,2017-05-16 16:21:51,
0000300394,000774844869,25108.00,2017-05-16 16:21:50,
0000300393,000774844858,18556.80,2017-05-16 16:21:49,
0000300391,000774844847,60311.60,2017-05-16 16:21:48,
0000300394,000774844825,21564.00,2017-05-16 16:21:47,
0000300391,000774844723,239316.56,2017-05-16 13:34:41,
0000300391,000774844278,68500.00,2017-05-16 13:34:41,
0000300394,000774843946,30079.05,2017-05-16 15:02:42,
0000300394,000774843935,5996.40,2017-05-16 15:02:42,
0000300391,000774841417,398395.52,2017-05-16 13:34:41,
0000300394,000774838732,21770.60,2017-05-16 10:42:23,
0000300391,000774813397,40642.00,2017-05-15 16:35:58,
0000300391,000774813386,84760.35,2017-05-15 16:35:58,
0000300391,000774813375,35769.12,2017-05-15 16:35:58,
0000300391,000774813364,50866.40,2017-05-15 16:35:58,
0000300391,000774792971,3062.40,2017-05-15 13:57:45,
0000300391,000774792493,91154.06,2017-05-15 14:12:16,
0000300394,000774740691,2275.20,2017-05-12 14:14:07,
0000300391,000774715423,155334.96,2017-05-11 17:36:05,
0000300391,000774704335,203950.70,2017-05-11 14:48:57,
TB_PODetail:
COT_ID,PONO,ItemBarCode,SeqNumber,Unit,OrderQuantity,Price
0000300391,000774867264,,0611666310,,60,63.2
0000300391,000774864072,6917751470225,0009977097,,5000,4.484
0000300391,000774849091,6917751430038,0000049183,,4980,2.888
0000300391,000774849091,6917751430021,0000049172,,1200,2.888
0000300391,000774849091,6917751411006,0000187906,,2010,2.66
0000300391,000774849091,6917751470119,0000280091,,2200,9.12
0000300391,000774849091,6917751470225,0009977097,,5000,4.484
0000300391,000774849091,6917751430502,0026969164,,150,24
0000300391,000774849091,6917751430588,0039936511,,4880,10.3
0000300391,000774849091,6917751440020,0425295596,,3600,12.7
0000300391,000774849091,6917751470560,0457517907,,3600,11.85
0000300391,000774849091,6917751830012,0556789607,,800,32
0000300391,000774849091,6917751510907,0625069785,,60,24.72
0000300391,000774849091,6917751440051,0631242950,,400,12.72
0000300394,000774846912,6917751430502,0026969164,,60,24
0000300394,000774846912,6917751510501,0441377806,,180,11.6
0000300394,000774846912,6917751510600,0441377851,,180,11.6
0000300394,000774846912,6917751470560,0457517907,,240,11.85
0000300394,000774846912,6917751413703,0608174578,,90,8.2
0000300394,000774846912,6917751440051,0631242950,,200,12.72
0000300391,000774844870,6917751460097,0000187940,,6000,2.128
0000300391,000774844870,6917751420152,0000492364,,480,6
0000300391,000774844870,6917751460318,0075068165,,36,12.4
0000300391,000774844870,6917751451095,0122573880,,200,5.8
0000300391,000774844870,6917751451224,0444670400,,800,14.8
0000300391,000774844870,,0626583719,,100,47.92
0000300394,000774844869,6917751460097,0000187940,,900,2.128
0000300394,000774844869,6917751420138,0000492400,,120,10.64
0000300394,000774844869,6917751420152,0000492364,,240,6
0000300394,000774844869,6917751420176,0000492386,,240,6
0000300394,000774844869,6917751420169,0000492375,,480,6
0000300394,000774844869,6917751451019,0000049274,,320,7.524
0000300394,000774844869,,0010116606,,120,8.74
0000300394,000774844869,6917751420213,0010116628,,48,8.74
0000300394,000774844869,6917751451125,0026969175,,320,12.7
0000300394,000774844869,6917751460318,0075068165,,24,12.4
0000300394,000774844869,6917751451095,0122573880,,100,5.8
0000300394,000774844869,6917751451170,0283663570,,64,19.4
0000300394,000774844869,6917751451132,0426714989,,160,9.6
0000300394,000774844869,6917751460837,0444665901,,48,31.9
0000300394,000774844869,6917751451224,0444670400,,32,14.8
0000300394,000774844869,,0626583719,,30,47.92
0000300394,000774844869,,0626583742,,20,55.92
0000300393,000774844858,6917751460769,0088916374,,24,72
0000300393,000774844858,6917751460721,0088916396,,162,53.9
0000300393,000774844858,6917751460738,0089012908,,6,65.5
0000300393,000774844858,6917751860071,0550993630,,20,55.2
0000300393,000774844858,6917751860088,0622819287,,150,44
0000300391,000774844847,6917751460615,0034429215,,20,189
0000300391,000774844847,6917751460769,0088916374,,40,72
0000300391,000774844847,6917751460714,0088916385,,600,39.7
0000300391,000774844847,6917751460721,0088916396,,180,53.9
0000300391,000774844847,6917751460745,0089012919,,48,70
0000300391,000774844847,6917751460899,0550993367,,8,239.2
0000300391,000774844847,6917751860071,0550993630,,30,55.2
0000300391,000774844847,6917751860088,0622819287,,300,44
0000300394,000774844825,6917751460615,0034429215,,8,189
0000300394,000774844825,6917751460769,0088916374,,24,72
0000300394,000774844825,6917751460721,0088916396,,120,53.9
0000300394,000774844825,6917751460738,0089012908,,24,65.5
0000300394,000774844825,6917751460745,0089012919,,18,70
0000300394,000774844825,6917751860071,0550993630,,20,55.2
0000300394,000774844825,6917751860088,0622819287,,180,44
0000300391,000774844723,6917751470232,0000049387,,10000,8.06
0000300391,000774844723,6917751430403,0011569690,,5000,7.52
0000300391,000774844723,6917751470218,0011569656,,8540,10.564
0000300391,000774844723,6917751430588,0039936511,,3000,10.3
0000300391,000774844278,6917751430403,0011569690,,5000,7.52
0000300391,000774844278,6917751430588,0039936511,,3000,10.3
0000300394,000774843946,6917751460073,0000187928,,60,1.748
0000300394,000774843946,6917751460080,0000187939,,600,2.128
0000300394,000774843946,6917751460097,0000187940,,1440,2.128
0000300394,000774843946,6917751510204,0000187951,,900,1.748
0000300394,000774843946,6917751420176,0000492386,,288,6
0000300394,000774843946,6917751460035,0000049296,,240,3.04
0000300394,000774843946,6917751451033,0000049285,,416,5.548
0000300394,000774843946,,0010116606,,240,8.74
0000300394,000774843946,6917751420114,0010116617,,72,8.74
0000300394,000774843946,6917751461131,0011575089,,1500,4.256
0000300394,000774843946,6917751461148,0011575034,,240,4.94
0000300394,000774843946,6917751461124,0011575001,,120,6.46
0000300394,000774843946,6917751460226,0075068132,,24,13.7
0000300394,000774843946,6917751461216,0088916409,,24,8
0000300394,000774843946,6917751451170,0283663570,,32,19.4
0000300394,000774843946,6917751451132,0426714989,,224,9.6
0000300394,000774843946,6917751460837,0444665901,,64,31.9
0000300394,000774843946,6917751500083,0455175516,,120,12.7
0000300394,000774843946,6917751500106,0455175696,,24,11.95
0000300394,000774843946,6917751500090,0455175709,,36,29.95
0000300394,000774843935,6917751460615,0034429215,,4,189
0000300394,000774843935,6917751460714,0088916385,,132,39.7
0000300391,000774841417,6917751470232,0000049387,,10000,8.06
0000300391,000774841417,6917751410108,0000049149,,2010,7.98
0000300391,000774841417,6917751430021,0000049172,,360,2.888
0000300391,000774841417,6917751470126,0000068984,,1680,6.84
0000300391,000774841417,6917751470119,0000280091,,400,9.12
0000300391,000774841417,6917751430052,0011574962,,5010,7.98
0000300391,000774841417,6917751430045,0011574951,,6000,7.98
0000300391,000774841417,6917751430403,0011569690,,5000,7.52
0000300391,000774841417,6917751411600,0011569689,,2010,7.52
0000300391,000774841417,6917751470218,0011569656,,8540,10.564
0000300391,000774841417,6917751430076,0011569634,,1940,12.312
0000300391,000774841417,6917751430588,0039936511,,3000,10.3
0000300394,000774838732,6917751410009,0000049127,,150,4.94
0000300394,000774838732,6917751411006,0000187906,,90,2.66
0000300394,000774838732,6917751470140,0000573126,,100,13.376
0000300394,000774838732,6917751411303,0010450836,,60,9.8
0000300394,000774838732,6917751430304,0011575045,,150,4.94
0000300394,000774838732,6917751430403,0011569690,,100,7.52
0000300394,000774838732,6917751430519,0026969119,,60,3.4
0000300394,000774838732,6917751430526,0026969120,,60,3.4
0000300394,000774838732,6917751430502,0026969164,,15,24
0000300394,000774838732,6917751430649,0057401044,,120,10.35
0000300394,000774838732,6917751430656,0057401066,,270,10.35
0000300394,000774838732,6917751512406,0148892802,,120,16.9
0000300394,000774838732,6917751440020,0425295596,,108,12.7
0000300394,000774838732,6917751430731,0427644335,,160,13.5
0000300394,000774838732,6917751430724,0427644460,,200,13.5
0000300394,000774838732,6917751510501,0441377806,,30,11.6
0000300394,000774838732,6917751440037,0441377839,,30,13.5
0000300394,000774838732,6917751412607,0537138855,,30,7.55
0000300394,000774838732,6917751830012,0556789607,,104,32
0000300391,000774813397,6917751460752,0088916363,,354,46
0000300391,000774813397,6917751460769,0088916374,,12,72
0000300391,000774813397,6917751460714,0088916385,,300,39.7
0000300391,000774813397,6917751460745,0089012919,,24,70
0000300391,000774813397,6917751860071,0550993630,,20,55.2
0000300391,000774813397,6917751860088,0622819287,,200,44
0000300391,000774813386,6917751460035,0000049296,,120,3.04
0000300391,000774813386,6917751460417,0000049354,,528,5.244
0000300391,000774813386,6917751460080,0000187939,,600,2.128
0000300391,000774813386,6917751510204,0000187951,,900,1.748
0000300391,000774813386,6917751420190,0000492353,,240,4.484
0000300391,000774813386,6917751420152,0000492364,,480,6
0000300391,000774813386,6917751420176,0000492386,,312,6
0000300391,000774813386,,0010116606,,480,8.74
0000300391,000774813386,6917751461025,0011575216,,120,2.888
0000300391,000774813386,6917751461155,0011575181,,120,3.496
0000300391,000774813386,6917751461001,0011575103,,120,4.104
0000300391,000774813386,6917751451125,0026969175,,320,12.7
0000300391,000774813386,6917751460585,0057401077,,12,40
0000300391,000774813386,6917751460493,0064893501,,24,18
0000300391,000774813386,6917751460547,0064893512,,24,16
0000300391,000774813386,6917751460110,0075068110,,24,9.5
0000300391,000774813386,6917751460226,0075068132,,24,13.7
0000300391,000774813386,6917751460318,0075068165,,24,12.4
0000300391,000774813386,6917751461216,0088916409,,48,8
0000300391,000774813386,6917751461254,0283663558,,480,9.52
0000300391,000774813386,6917751451170,0283663570,,320,19.4
0000300391,000774813386,6917751420367,0283663616,,48,10.8
0000300391,000774813386,6917751420350,0283663649,,24,10.8
0000300391,000774813386,6917751451132,0426714989,,3200,9.6
0000300391,000774813386,6917751460837,0444665901,,224,31.9
0000300391,000774813386,6917751460820,0444670397,,32,36.4
0000300391,000774813386,6917751451224,0444670400,,448,14.8
0000300391,000774813386,6917751500083,0455175516,,120,12.7
0000300391,000774813386,6917751500090,0455175709,,24,29.95
0000300391,000774813386,,0626583719,,30,47.92
0000300391,000774813375,6917751460097,0000187940,,4290,2.128
0000300391,000774813375,6917751420169,0000492375,,4440,6
0000300391,000774813364,6917751461131,0011575089,,5400,4.256
0000300391,000774813364,6917751461124,0011575001,,1800,6.46
0000300391,000774813364,6917751451217,0444670477,,1280,12.7
0000300391,000774792971,,0611666229,,24,84
0000300391,000774792971,,0611666321,,12,87.2
0000300391,000774792493,6917751410306,0000049116,,810,3.8
0000300391,000774792493,6917751410603,0000049150,,600,2.964
0000300391,000774792493,6917751430021,0000049172,,420,2.888
0000300391,000774792493,6917751510303,0000142278,,120,9.804
0000300391,000774792493,6917751470119,0000280091,,1000,9.12
0000300391,000774792493,6917751430175,0000573057,,600,9.804
0000300391,000774792493,6917751430182,0000573068,,240,7.296
0000300391,000774792493,6917751430236,0010137334,,420,9.804
0000300391,000774792493,6917751410504,0011575114,,600,4.484
0000300391,000774792493,6917751430649,0057401044,,360,10.35
0000300391,000774792493,6917751430656,0057401066,,510,10.35
0000300391,000774792493,6917751512406,0148892802,,210,16.9
0000300391,000774792493,6917751430724,0427644460,,2000,13.5
0000300391,000774792493,6917751440037,0441377839,,300,13.5
0000300391,000774792493,6917751830012,0556789607,,400,32
0000300391,000774792493,6917751413703,0608174578,,300,8.2
0000300391,000774792493,6917751510907,0625069785,,60,24.72
0000300394,000774740691,,0611666310,,36,63.2
0000300391,000774715423,6917751470126,0000068984,,2320,6.84
0000300391,000774715423,6917751470225,0009977097,,8000,4.484
0000300391,000774715423,6917751470218,0011569656,,1460,10.564
0000300391,000774715423,6917751430076,0011569634,,1060,12.312
0000300391,000774715423,6917751430717,0280819105,,3000,9.8
0000300391,000774715423,6917751440020,0425295596,,3600,12.7
0000300391,000774704335,6917751410306,0000049116,,300,3.8
0000300391,000774704335,6917751410603,0000049150,,1740,2.964
0000300391,000774704335,6917751430038,0000049183,,3000,2.888
0000300391,000774704335,6917751470232,0000049387,,2000,8.06
0000300391,000774704335,6917751410108,0000049149,,3000,7.98
0000300391,000774704335,6917751430021,0000049172,,240,2.888
0000300391,000774704335,6917751510303,0000142278,,120,9.804
0000300391,000774704335,6917751411006,0000187906,,210,2.66
0000300391,000774704335,6917751470119,0000280091,,800,9.12
0000300391,000774704335,6917751430175,0000573057,,300,9.804
0000300391,000774704335,6917751430182,0000573068,,120,7.296
0000300391,000774704335,6917751410207,0000573080,,2010,7.7
0000300391,000774704335,6917751470133,0000573115,,1000,17.33
0000300391,000774704335,6917751470140,0000573126,,1000,13.376
0000300391,000774704335,6917751430342,0011575169,,300,3.724
0000300391,000774704335,6917751410504,0011575114,,600,4.484
0000300391,000774704335,6917751430243,0011574984,,90,6.46
